ID,Name,Age,Height,Weight,Shot Power,Skill,Mentality,Dribbling,Sprint Speed,Acceleration,Agility,Stamina,Balance,ST
139317,J. Stead,37,190.5,76.19,62,271,272,53,43,41,34.0,53,50.0,58
139799,S. Silva,39,182.88,82.99,82,313,338,64,34,34,52.0,52,51.0,72
140156,J. Cacho,32,177.8,78.91,70,296,282,65,35,45,69.0,31,55.0,62
140253,F. Fonseca,33,182.88,74.83,72,292,312,63,62,50,65.0,69,45.0,65
140384,Jô,32,193.04,91.15,78,328,299,72,71,57,67.0,69,51.0,74
141111,Z. Dedič,35,182.88,77.09,75,311,311,66,65,72,70.0,70,66.0,68
142444,P. Webó,34,180.34,81.18,72,313,302,70,61,60,63.0,60,67.0,74
142707,L. López,37,175.26,73.92,82,378,355,76,69,69,76.0,60,73.0,78
142708,D. Milito,36,182.88,78.0,75,369,320,78,62,65,62.0,52,70.0,78
142938,G. Denis,35,182.88,88.89,81,303,285,53,35,42,60.0,62,63.0,71
143001,C. Tévez,36,170.18,77.09,82,368,340,78,66,70,76.0,69,79.0,78
143119,M. Pavone,36,177.8,83.9,76,293,301,57,49,54,55.0,69,73.0,71
144050,A. Bunjaku,36,180.34,77.09,70,302,292,70,55,66,68.0,55,77.0,67
145830,Ion Vélez,30,182.88,76.19,77,274,301,61,69,64,63.0,68,60.0,64
146439,Negredo,34,185.42,86.17,83,337,329,70,63,62,67.0,63,60.0,76
146758,Soldado,35,180.34,73.92,79,344,352,73,54,54,64.0,54,62.0,76
148138,I. Olić,36,182.88,84.8,80,314,345,66,69,62,70.0,80,72.0,71
148803,K. Huntelaar,36,185.42,82.99,78,312,317,58,51,45,53.0,44,62.0,74
149306,V. Bojinov,33,180.34,72.11,72,337,273,69,68,66,72.0,70,72.0,69
149667,K. Doyle,33,182.88,81.18,69,306,318,63,68,60,67.0,72,66.0,67
149825,D. Murphy,36,190.5,87.98,74,294,323,59,34,46,47.0,52,50.0,67
149978,D. López,31,185.42,86.17,68,311,316,65,61,52,60.0,62,47.0,66
150418,M. Gómez,33,187.96,88.89,80,288,300,67,56,46,56.0,51,47.0,74
150525,P. Guerrero,30,185.42,82.08,77,320,330,78,69,66,63.0,51,65.0,78
150594,J. Perbet,35,182.88,84.8,70,239,269,48,40,51,64.0,34,59.0,67
152454,G. Evans,32,182.88,79.82,75,286,331,61,79,77,74.0,80,65.0,64
152603,O. Occéan,37,185.42,86.17,68,247,298,57,55,51,60.0,49,65.0,65
152718,Ricardo Vaz Tê,33,187.96,79.82,79,320,318,68,74,75,76.0,67,58.0,71
152814,Bobô,33,185.42,84.8,79,292,308,70,63,66,69.0,62,66.0,73
152912,J. Sand,39,182.88,78.91,77,311,343,67,53,49,38.0,49,27.0,75
152990,L. Barnard,30,177.8,68.03,59,242,280,58,64,67,61.0,70,70.0,60
152997,D. Cvitanich,36,177.8,69.84,73,345,338,66,54,63,67.0,56,74.0,74
153079,S. Agüero,32,172.72,69.84,89,397,341,88,78,79,84.0,78,91.0,89
153244,A. Gignac,34,187.96,88.89,84,369,368,76,66,69,66.0,71,57.0,81
154472,Jorge Molina,38,187.96,72.11,80,330,359,73,39,33,33.0,43,36.0,78
155533,L. Clarke,35,187.96,88.89,70,262,309,60,53,52,53.0,33,51.0,67
155979,R. McCormack,31,175.26,73.92,78,364,323,68,65,64,73.0,50,80.0,70
156166,D. Blackstock,30,185.42,76.19,67,282,301,62,54,54,55.0,67,62.0,65
156321,A. Akinfenwa,38,177.8,110.2,71,262,279,50,46,37,34.0,65,71.0,65
156376,R. Márquez Lugo,32,175.26,77.09,64,298,303,64,62,65,63.0,68,65.0,65
156424,Roberci,30,182.88,78.91,70,290,274,67,80,70,66.0,68,55.0,69
156432,G. Hoarau,36,193.04,84.8,78,329,323,68,46,40,64.0,52,54.0,74
156506,M. Vuoso,34,177.8,87.07,78,296,316,65,48,49,64.0,54,55.0,69
157053,C. Ochoa,37,180.34,78.0,65,292,271,67,69,66,67.0,66,50.0,66
157301,R. Babel,33,185.42,84.8,85,352,314,82,85,77,76.0,75,73.0,77
157707,B. Berisha,34,182.88,79.82,71,263,335,58,51,58,68.0,65,66.0,68
158309,Gao Lin,34,185.42,74.83,74,309,325,65,66,67,59.0,69,74.0,67
158320,Dong Fangzhuo,25,187.96,73.92,68,267,286,58,68,66,62.0,68,67.0,62
158370,F. Evacuo,36,187.96,87.98,80,274,296,53,50,35,33.0,55,55.0,66
158525,K. Jones,32,187.96,84.8,74,257,284,59,53,49,48.0,44,54.0,66
158543,O. Peralta,36,177.8,72.11,70,318,334,68,64,62,62.0,56,63.0,69
159067,J. Olivera,38,190.5,87.98,79,319,285,70,53,56,51.0,28,26.0,69
159145,B. Gomis,34,182.88,77.09,84,327,326,78,67,68,59.0,73,58.0,80
159195,R. Nurse,36,187.96,92.06,65,298,286,58,52,47,44.0,44,35.0,64
159581,Oriol Riera,32,182.88,78.0,70,294,313,61,63,65,60.0,72,69.0,67
160774,Fred,31,185.42,83.9,79,348,316,73,52,51,66.0,53,55.0,77
161678,V. Montaño,32,180.34,74.83,66,296,317,65,60,74,69.0,65,70.0,66
161793,Agirretxe,30,187.96,78.0,76,316,308,71,46,46,68.0,44,55.0,73
161938,M. Boselli,33,185.42,74.83,74,318,313,69,55,55,60.0,67,52.0,76
162131,Llorente,35,193.04,92.06,79,293,320,67,32,29,32.0,34,30.0,75
162369,V. Ibišević,35,187.96,82.99,81,322,343,71,60,38,60.0,50,59.0,75
163050,B. Sharp,34,175.26,69.84,72,302,330,58,53,61,64.0,53,72.0,73
163209,S. Naismith,32,177.8,72.11,74,329,376,67,64,65,73.0,78,71.0,72
163340,D. Graham,34,182.88,84.8,70,283,322,60,38,34,48.0,48,54.0,67
163342,S. Cox,33,180.34,69.84,68,290,302,62,57,54,65.0,77,65.0,64
163396,J. Vaughan,31,182.88,82.99,66,277,320,62,69,68,64.0,66,53.0,64
163828,A. Le Fondre,33,180.34,73.01,73,307,319,67,63,68,71.0,80,79.0,70
164029,Charles,35,177.8,76.19,82,336,300,75,59,62,79.0,58,67.0,78
164376,G. Pellè,34,193.04,89.79,78,291,340,61,50,37,32.0,76,73.0,75
164464,B. Wright-Phillips,35,172.72,74.83,79,305,318,68,65,66,70.0,64,73.0,74
164469,G. Agbonlahor,30,180.34,78.91,73,311,288,70,78,75,69.0,33,51.0,69
164471,Xisco,34,182.88,82.08,72,283,308,58,32,33,53.0,68,59.0,71
164559,C. Wondolowski,37,182.88,77.09,71,281,328,61,42,37,52.0,73,56.0,68
164769,S. Fletcher,33,185.42,76.19,76,263,301,66,53,49,65.0,62,65.0,70
164876,Michu,30,190.5,78.0,79,334,331,66,56,52,50.0,65,44.0,73
165065,S. Cissé,31,182.88,78.0,74,310,293,69,76,71,68.0,68,59.0,70
165191,C. Jerome,32,185.42,84.8,79,289,305,63,75,64,64.0,77,61.0,70
165269,R. Boukari,33,187.96,83.9,66,307,270,66,72,69,70.0,32,57.0,64
165429,C. Keșerü,33,177.8,71.2,80,335,324,64,66,71,64.0,69,77.0,73
165509,B. Clarke,32,170.18,63.94,68,268,294,63,68,62,85.0,62,90.0,63
165560,M. Ruben,32,177.8,74.83,75,319,330,68,75,77,71.0,69,71.0,74
165788,L. Ulloa,33,185.42,87.98,74,314,317,69,37,34,57.0,65,57.0,70
166114,C. Kazim-Richards,33,187.96,94.78,77,318,281,68,59,56,61.0,58,52.0,68
166844,K. Lafferty,32,193.04,87.98,71,302,303,62,62,58,55.0,64,52.0,66
167397,Falcao,34,177.8,72.11,78,367,349,73,62,66,75.0,60,75.0,80
167437,D. Stroh-Engel,34,198.12,91.15,71,262,282,51,38,35,34.0,37,33.0,64
167515,N. Žigić,33,203.2,96.14,74,284,327,54,40,32,32.0,58,34.0,64
167664,G. Higuaín,32,185.42,88.89,86,359,305,80,67,62,71.0,57,69.0,83
167705,A. Stokes,28,180.34,71.2,68,315,301,68,65,65,66.0,57,63.0,67
167706,N. Bendtner,31,193.04,83.9,73,313,315,67,62,64,56.0,52,48.0,70
168444,Ari,31,180.34,83.9,80,340,326,75,75,79,76.0,76,63.0,77
168533,Cléo,34,187.96,79.82,72,265,245,59,44,34,61.0,33,46.0,64
168565,H. Rodallega,34,180.34,72.11,75,357,312,78,72,73,73.0,74,74.0,75
168950,S. Allagui,33,182.88,77.09,73,327,274,72,65,67,72.0,55,69.0,69
168984,I. Bangoura,33,175.26,73.01,70,291,290,63,67,59,70.0,62,67.0,70
169216,S. Long,33,177.8,69.84,77,285,334,74,79,85,69.0,65,72.0,74
169386,S. Floccari,38,180.34,78.91,75,318,277,71,53,53,63.0,35,70.0,71
169449,K. Finnbogason,33,187.96,82.99,68,246,294,58,63,60,52.0,62,60.0,65
169465,M. Derbyshire,34,185.42,72.11,67,257,280,61,69,75,67.0,73,60.0,65
169498,J. Garner,32,177.8,73.92,69,275,324,62,63,66,74.0,75,76.0,67
169527,V. Anichebe,28,185.42,79.82,77,263,322,75,76,66,56.0,67,44.0,74
169586,F. Campbell,32,172.72,79.82,68,281,297,67,69,65,69.0,67,79.0,67
169792,J. Rodriguez,30,185.42,83.9,78,320,318,72,75,67,69.0,76,64.0,76
169862,F. Eastwood,29,180.34,78.0,66,292,245,64,65,64,62.0,47,65.0,60
169907,S. Miller,32,172.72,71.2,63,247,232,62,78,79,86.0,77,90.0,61
170569,David Rodríguez,33,177.8,74.83,69,278,292,60,68,69,70.0,65,63.0,67
171083,R. O'Donovan,34,177.8,63.94,63,256,294,62,71,75,79.0,70,82.0,64
171833,D. Sturridge,29,180.34,76.19,82,346,310,76,74,71,73.0,52,64.0,77
171975,G. Bergessio,35,177.8,73.92,74,298,321,67,65,71,73.0,48,70.0,75
171982,C. Andrew,32,187.96,82.08,60,246,304,48,72,66,60.0,81,69.0,61
172124,M. Sow,33,180.34,81.18,76,332,320,71,77,78,83.0,74,70.0,74
172555,R. Schwartz,30,182.88,79.82,72,284,311,63,71,69,67.0,70,67.0,69
172743,N. Nielsen,29,185.42,74.83,72,282,312,67,69,68,77.0,75,59.0,67
172780,B. Pitman,32,182.88,69.84,69,318,296,59,47,45,51.0,51,72.0,65
172823,N. Maynard,33,180.34,69.84,66,309,289,64,73,75,77.0,65,66.0,65
172937,G. Murray,36,182.88,79.82,77,281,355,65,30,29,52.0,34,65.0,74
172960,L. Grabban,32,182.88,78.0,73,309,283,68,69,69,72.0,68,69.0,73
173162,F. Ceravolo,32,180.34,73.01,70,313,266,67,70,69,73.0,61,68.0,69
173608,Joselu,30,193.04,79.82,78,341,309,72,54,58,61.0,65,40.0,76
173859,S. Baldock,31,170.18,67.12,67,291,304,65,69,74,78.0,78,77.0,67
173891,L. Akins,31,185.42,78.91,69,289,310,65,74,75,72.0,82,68.0,65
175389,D. Oliech,29,180.34,83.9,76,287,290,66,89,88,73.0,77,62.0,68
175789,B. Bjarnason,32,182.88,77.09,68,289,324,64,66,63,72.0,83,77.0,68
176048,K. Kamara,35,190.5,86.17,75,294,315,71,73,72,71.0,76,65.0,73
176137,J. Vossen,31,182.88,78.91,74,349,341,66,54,59,67.0,72,65.0,71
176211,M. Robak,35,182.88,78.0,72,285,319,65,55,60,68.0,60,67.0,70
176237,J. Altidore,30,182.88,78.91,81,332,329,70,68,65,62.0,62,55.0,74
176475,R. Ovelar,33,180.34,81.18,75,309,284,67,52,47,63.0,50,61.0,72
176481,M. Erdinç,33,180.34,83.9,74,323,325,67,70,68,69.0,65,73.0,71
176542,C. Valencia,35,172.72,69.84,72,285,296,67,78,74,67.0,66,72.0,69
176580,L. Suárez,33,182.88,86.17,89,413,386,84,68,72,76.0,78,78.0,87
176599,M. Franco,36,180.34,74.83,60,276,298,61,67,70,68.0,70,62.0,65
176600,K. Gameiro,33,172.72,69.84,82,363,343,74,87,85,79.0,69,75.0,79
176619,A. Ramos,34,185.42,78.0,75,308,318,65,75,74,72.0,69,67.0,72
176657,M. Alonso,35,177.8,69.84,55,270,269,59,71,69,64.0,66,66.0,64
176733,M. Berg,33,182.88,73.92,79,309,308,72,73,72,70.0,69,71.0,76
176794,O. Toivonen,33,193.04,78.0,77,375,345,75,50,50,62.0,68,60.0,75
176841,L. Jutkiewicz,31,185.42,77.09,76,286,325,63,64,54,52.0,70,62.0,72
176941,A. Rooney,31,177.8,77.09,63,263,270,59,58,55,66.0,66,65.0,62
177035,C. Benítez,26,170.18,72.11,75,331,330,78,90,91,85.0,82,86.0,77
177134,D. Ba,35,187.96,82.08,74,351,343,69,69,70,57.0,62,53.0,72
177392,D. Mbokani,34,185.42,73.01,78,343,340,76,66,69,78.0,73,66.0,78
177491,Eduardo da Silva,35,177.8,72.11,65,325,265,69,67,69,74.0,53,73.0,68
177528,A. Matri,34,182.88,79.82,72,288,277,64,55,60,67.0,52,66.0,70
177633,Ángel,33,172.72,68.03,80,321,314,77,73,72,73.0,59,77.0,79
177666,M. Harnik,33,185.42,79.82,76,331,321,70,63,66,67.0,75,64.0,71
177765,P. Cissé,34,182.88,73.01,79,341,305,73,49,76,77.0,69,71.0,76
177803,D. Paponi,28,182.88,72.11,69,298,289,61,62,65,71.0,76,70.0,68
178091,S. Okaka,30,185.42,89.79,81,290,300,71,65,55,53.0,64,45.0,75
178224,J. Hernández,32,175.26,73.01,75,327,314,73,66,75,75.0,65,78.0,77
178264,Nenê,36,182.88,78.0,72,300,306,60,50,40,63.0,47,67.0,68
178311,Éder,33,177.8,72.11,79,379,322,78,87,88,82.0,81,88.0,79
178422,César Díaz,33,170.18,73.92,75,307,291,67,83,80,63.0,64,65.0,66
178475,D. Ciofani,33,190.5,82.08,74,221,274,53,69,52,32.0,56,39.0,70
178509,O. Giroud,33,193.04,91.15,84,343,360,69,39,40,54.0,54,53.0,79
178535,P. Osvaldo,33,182.88,81.18,80,322,323,71,51,55,67.0,48,65.0,72
178628,F. Forestieri,30,172.72,67.12,74,337,323,73,71,81,88.0,59,88.0,70
179516,R. Hennings,32,180.34,79.82,84,332,327,67,66,63,62.0,75,67.0,75
179527,L. Rémy,33,185.42,82.08,81,325,334,74,70,73,70.0,60,63.0,76
179549,S. Maierhofer,37,203.2,97.96,78,228,342,43,30,29,29.0,31,28.0,64
179551,O. Kamara,30,182.88,71.2,75,305,317,69,76,71,72.0,78,70.0,73
179574,G. Hooper,32,175.26,71.2,75,292,286,66,63,56,64.0,53,71.0,72
179746,S. Vokes,30,187.96,89.79,80,286,342,56,49,43,48.0,72,52.0,69
179752,O. Cardozo,37,193.04,87.07,84,334,315,65,32,27,45.0,31,30.0,72
179813,E. Cavani,32,185.42,77.09,88,357,390,75,76,74,74.0,90,59.0,86
179844,Diego Costa,31,187.96,82.99,82,330,362,75,75,71,57.0,73,53.0,80
179855,J. Beckford,34,187.96,82.99,62,227,305,58,66,62,65.0,50,63.0,65
179860,R. Reid,31,182.88,77.09,62,264,281,61,73,71,62.0,65,65.0,62
179875,D. N'Doye,34,185.42,81.18,79,320,315,69,70,67,71.0,70,65.0,74
179902,Cidimar,28,182.88,82.99,71,285,241,61,66,61,67.0,54,67.0,62
179972,E. Derdiyok,31,190.5,92.06,78,323,284,66,38,34,54.0,54,46.0,72
180287,D. Damjanović,38,187.96,81.18,69,321,316,66,38,40,33.0,48,63.0,67
180826,Luiz Adriano,31,182.88,79.82,76,321,294,77,77,78,77.0,72,69.0,78
180930,E. Džeko,34,193.04,79.82,86,352,339,76,58,61,56.0,70,36.0,83
181120,Chong Te Se,36,180.34,79.82,69,301,299,61,69,48,59.0,64,56.0,65
181281,T. Necid,29,190.5,83.9,74,285,294,56,45,52,50.0,63,44.0,68
181375,M. Martins,33,187.96,82.08,80,305,305,67,54,58,71.0,66,54.0,71
181558,R. Armand,33,180.34,74.83,60,298,301,64,74,75,72.0,70,62.0,67
181721,D. Bakar,28,170.18,68.93,73,333,284,71,79,78,75.0,62,80.0,69
181780,T. Matavž,31,187.96,81.18,75,296,276,64,48,46,61.0,69,48.0,70
181783,M. Mandžukić,33,190.5,84.8,83,334,390,75,73,61,65.0,79,55.0,83
181989,A. Ríos,30,177.8,78.0,70,324,283,70,66,66,72.0,70,68.0,68
182212,A. Modeste,32,187.96,83.9,74,317,311,70,76,68,66.0,67,62.0,75
182427,Yang Xu,33,187.96,79.82,72,296,255,57,64,55,56.0,65,63.0,64
182528,K. Erasmus,28,167.64,63.04,72,308,284,69,74,79,77.0,67,80.0,69
182836,A. Carroll,31,193.04,78.91,82,295,348,67,41,33,45.0,32,31.0,74
182878,Jonathan Reis,28,182.88,78.0,71,308,244,65,66,69,67.0,43,62.0,67
182883,K. Agard,30,175.26,67.12,63,248,293,62,80,77,88.0,73,80.0,64
183025,M. Simon,34,187.96,78.0,66,217,319,52,69,63,63.0,75,32.0,61
183068,C. Beauvue,31,175.26,66.21,81,325,295,69,63,68,77.0,54,73.0,71
183125,T. Deeney,32,182.88,89.79,86,324,350,68,55,54,60.0,69,67.0,76
183177,L. Barrios,35,187.96,83.9,77,316,319,67,55,58,64.0,62,46.0,70
183211,M. Škoda,34,190.5,86.17,71,294,334,67,55,54,48.0,59,54.0,71
183249,R. Bobadilla,33,182.88,87.07,80,338,308,68,61,62,62.0,65,65.0,70
183389,G. Sio,31,180.34,79.82,78,356,317,72,78,75,78.0,80,73.0,74
183425,T. Elliott,29,193.04,76.19,64,255,283,60,75,72,66.0,69,61.0,64
183483,K. Mitroglou,32,187.96,86.17,82,337,292,67,54,47,42.0,60,32.0,73
183518,Rui Fonte,30,180.34,73.01,66,340,316,66,63,64,69.0,63,66.0,70
183569,E. Choupo-Moting,31,190.5,91.15,77,337,306,80,74,71,73.0,73,61.0,75
183580,N. Petersen,31,187.96,79.82,79,282,319,62,55,53,62.0,80,57.0,76
183706,M. Waghorn,30,177.8,82.99,79,331,312,63,67,64,62.0,72,69.0,70
183712,S. Mölders,35,185.42,87.98,76,253,306,44,48,40,40.0,54,58.0,66
183714,S. Terodde,32,193.04,82.99,79,257,305,63,71,52,52.0,66,56.0,74
183807,P. Amond,32,177.8,78.91,64,251,255,56,66,63,59.0,67,71.0,62
183831,A. Dona Ndoh,34,185.42,79.82,65,260,255,54,66,55,58.0,67,49.0,64
183833,F. Andriatsima,36,182.88,73.92,68,317,291,61,57,54,55.0,61,68.0,66
183920,R. Sukuta-Pasu,28,190.5,91.15,80,275,282,62,75,74,60.0,76,50.0,68
183982,N. Roux,32,182.88,78.0,72,317,290,71,66,66,70.0,62,71.0,70
184069,S. Wagner,31,193.04,92.06,83,281,307,60,60,53,54.0,69,34.0,77
184111,C. Benteke,29,190.5,82.99,80,304,302,63,59,54,61.0,55,43.0,72
184136,Orlando Sá,32,187.96,84.8,71,267,302,62,54,59,63.0,45,56.0,68
184143,A. Jacobsen,30,182.88,76.19,70,286,241,65,76,69,76.0,68,54.0,65
184200,M. Arnautović,31,193.04,82.99,85,386,354,78,82,77,72.0,76,80.0,82
184252,L. Pratto,32,187.96,91.15,82,349,373,74,76,68,70.0,70,52.0,75
184255,K. Sigþórsson,30,187.96,87.07,72,291,309,64,63,47,54.0,47,54.0,69
184290,T. Pekhart,31,193.04,82.08,74,248,267,58,55,48,34.0,63,31.0,67
184301,J. Emmanuel-Thomas,29,190.5,84.8,70,304,285,66,71,62,62.0,52,41.0,65
184433,A. Nemec,34,193.04,89.79,77,268,262,64,52,54,57.0,64,59.0,67
184457,R. van Wolfswinkel,31,185.42,72.11,71,330,316,72,61,65,62.0,58,70.0,73
184480,H. Robson-Kanu,31,182.88,82.99,73,300,308,72,73,63,58.0,69,65.0,70
184520,R. Feczesin,33,187.96,74.83,65,289,268,64,62,63,68.0,62,53.0,66
184614,M. Kramer,31,195.58,79.82,67,249,267,53,48,43,51.0,56,40.0,66
184624,J. Rhodes,30,185.42,71.2,70,241,292,57,63,57,65.0,62,65.0,68
184707,G. Madine,29,193.04,74.83,70,241,312,59,53,48,53.0,64,51.0,66
184747,C. Martin,31,185.42,78.91,75,301,331,61,39,35,47.0,47,52.0,67
184777,E. Herrera,31,187.96,87.07,70,289,316,59,32,34,38.0,71,32.0,65
184789,A. Szalai,32,193.04,92.97,82,292,330,69,34,34,63.0,65,59.0,71
184845,Wellington,31,185.42,88.89,72,278,286,64,53,54,54.0,70,34.0,69
184858,Alan Kardec,31,187.96,72.11,78,326,295,70,75,74,70.0,81,63.0,76
184878,T. Høiland,31,177.8,72.11,73,276,284,67,78,79,68.0,77,76.0,66
184982,M. Larrondo,30,190.5,79.82,72,295,295,68,61,32,59.0,34,31.0,69
185090,B. Moukandjo,30,180.34,73.92,72,333,291,69,87,86,80.0,65,67.0,71
185144,M. Coda,31,182.88,72.11,74,314,263,69,56,64,62.0,43,64.0,70
185195,O. Ighalo,31,182.88,73.01,81,329,325,77,74,72,71.0,68,73.0,77
185199,S. Ribas,32,187.96,79.82,80,306,277,65,65,60,67.0,67,45.0,72
185431,N. Kalinić,32,187.96,78.91,77,311,333,73,67,59,66.0,64,55.0,77
186127,C. Evans,31,182.88,76.19,72,280,316,55,62,61,66.0,55,63.0,65
186140,F. Macheda,28,185.42,77.09,73,287,278,69,70,67,70.0,65,63.0,72
186146,D. Welbeck,29,185.42,73.01,77,332,321,73,79,73,72.0,52,62.0,74
186405,F. Di Santo,31,193.04,87.98,72,324,340,71,69,68,67.0,69,59.0,71
186416,C. Hidalgo,34,182.88,73.92,62,277,235,64,64,53,73.0,49,58.0,64
